AreaCenter.__lat__,AreaCenter.__lon__,DisplayName,Heading,IconHeight,IconWidth,MarkerLocation.__lat__,MarkerLocation.__lon__,Name,ShortName,Tilt,Zoom
42.18401,-70.8849,South Hingham HM,0,22,67,42.18601,-70.89354,South Hingham HM,Historic,66,15
42.24945,-70.90422,Crow Point,0,22,67,42.24965,-70.90422,Crow Point,Crow,66,18
42.21893,-70.78589,North Scituate,0,22,67,42.21893,-70.78639,North Scituate,North Scituate,66,18
42.23611,-70.87101,East Hingham HM,0,22,67,42.23611,-70.86601,East Hingham HM,Historic,66,15
42.36475,-71.05395,North End,0,40,80,42.3638,-71.05564,North End,North End,54,18.75
42.24482,-70.88484,Hingham Harbor,0,22,67,42.24642,-70.88214,Hingham Harbor,Harbor,66,17
42.25081,-70.92255,Hingham Shipyard,0,22,67,42.25111,-70.92055,Hingham Shipyard,Shipyard,66,19
42.21801,-70.8849,Hingham High St HM,0,22,67,42.21801,-70.8849,Hingham High St HM,Historic,66,15
42.35666,-71.06944,Beacon Hill,0,40,80,42.35666,-71.06944,Beacon Hill,Beacon,0,18.75
42.24181,-70.88991,Hingham Square HM,0,22,67,42.23101,-70.89354,Hingham Square HM,Historic,66,15
42.24181,-70.88991,Hingham Filter HM,0,0,0,0,0,Hingham Filter HM,Historic,66,14
42.24229,-70.88927,Hingham Square,0,22,67,42.24059,-70.88741,Hingham Square,Square,66,20
42.3614,-71.0572,Downtown Boston,0,40,80,42.3614,-71.0572,Downtown Boston,Downtown,0,18.75
42.09301,-70.70571,Marshfield,0,40,80,42.095,-70.68571,Marshfield,Marshfield,42,16
42.23882,-70.90073,West Hingham HM,0,22,67,42.23522,-70.90811,West Hingham HM,Historic,66,15
42.24489,-70.89122,Fearing Farm HM,0,22,67,42.24259,-70.89757,Fearing Farm HM,Fearing,66,15
42.23351,-70.82049,Reeds Corner,0,22,67,42.22233,-70.80419,Reeds Corner,Reeds,66,16
42.23541,-70.88329,Hingham Center HM,0,22,67,42.22541,-70.87829,Hingham Center HM,Historic,66,15
42.24021,-70.80171,Cohasset,0,22,67,42.2407,-70.8016,Cohasset,Cohasset,58,19
42.19599,-70.725,Scituate,0,22,67,42.194,-70.725,Scituate,Scituate,58,17
42.26551,-70.8525,Hull,0,22,47,42.265,-70.8525,Hull,Hull,58,16
42.16019,-70.79165,Norwell,0,22,67,42.16019,-70.79165,Norwell,Norwell,58,17
42.23312,-70.87957,Hingham Center,0,22,67,42.23357,-70.879757,Hingham Center,Center,66,19
